,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Loan_Status,Property_Area_Metro,Property_Area_Rural,Property_Area_Semiurban,Property_Area_Urban
0,0.0,0.0,2.0,1.0,1.0,48898.0,0.0,176.0,120.0,0.0,0.0,0.0,0.0,0.0,1.0
1,0.0,1.0,1.0,0.0,1.0,29161.0,1061.0,172.0,240.0,0.0,0.0,0.0,1.0,0.0,0.0
2,0.0,0.0,2.0,1.0,1.0,16279.0,2679.0,162.0,180.0,0.0,1.0,0.0,0.0,1.0,0.0
3,1.0,1.0,3.0,1.0,0.0,46572.0,4801.0,-50.0,240.0,0.0,0.0,0.0,0.0,0.0,1.0
4,0.0,0.0,3.0,0.0,1.0,26869.0,14407.0,114.0,360.0,0.0,0.0,0.0,0.0,1.0,0.0
5,1.0,0.0,2.0,1.0,0.0,15547.0,0.0,122.0,360.0,0.0,1.0,0.0,1.0,0.0,0.0
6,1.0,0.0,2.0,1.0,0.0,23663.0,4944.0,199.0,240.0,1.0,1.0,0.0,1.0,0.0,0.0
7,1.0,1.0,2.0,1.0,1.0,9791.0,0.0,139.0,180.0,0.0,1.0,0.0,0.0,0.0,1.0
8,0.0,1.0,1.0,1.0,0.0,25861.0,4583.0,119.0,120.0,0.0,0.0,0.0,1.0,0.0,0.0
9,0.0,0.0,1.0,1.0,1.0,42224.0,1109.0,82.0,180.0,0.0,1.0,0.0,0.0,0.0,1.0
10,1.0,1.0,0.0,1.0,0.0,18910.0,7583.0,84.0,240.0,0.0,0.0,0.0,1.0,0.0,0.0
11,0.0,0.0,0.0,0.0,1.0,23820.0,0.0,126.0,180.0,1.0,1.0,0.0,1.0,0.0,0.0
12,1.0,1.0,3.0,0.0,1.0,26417.0,4583.0,117.0,240.0,1.0,1.0,0.0,1.0,0.0,0.0
13,0.0,0.0,1.0,1.0,1.0,15993.0,0.0,174.0,120.0,1.0,1.0,0.0,0.0,0.0,1.0
14,1.0,0.0,3.0,1.0,1.0,27675.0,0.0,111.0,120.0,1.0,1.0,0.0,1.0,0.0,0.0
